Código Mantenedora;Razão Social;CNPJ;Natureza Jurídica;Código IES;Instituição(IES);Sigla;Endereço;Município;UF;Organização Acadêmica;Tipo de Credenciamento;Categoria;Categoria Administrativa;CI;Ano CI;CI-EaD;Ano CI-EaD;IGC;Ano IGC;Situação
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;1830;FACULDADE ANHANGUERA DE PASSO FUNDO;-;Rua Paissandu - 1200 - - de 1103/1104 a 1527/1528 - CEP: 99010-101 - Centro;Passo Fundo;RS;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;4;2018;-;;3;2016;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;2191;FACULDADE ANHANGUERA DE PELOTAS;-;Avenida Fernando Osório - 2.301 - s/c - CEP: 96055-035 - Três Vendas;Pelotas;RS;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;4;2013;-;;3;2016;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;12791;FACULDADE ANHANGUERA DE PINDAMONHANGABA;-;Avenida Nossa Senhora do Bom Sucesso - 3344 - s/c - CEP: 12420-010 - Campo Alegre;Pindamonhangaba;SP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;4;2017;-;;-;;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;4656;FACULDADE ANHANGÜERA DE PIRACICABA;-;Rua Santa Catarina - 1.005 - s/c - CEP: 13425-075 - Piracicamirim;Piracicaba;SP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;4;2017;-;;3;2016;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;13620;FACULDADE ANHANGUERA DE PORTO ALEGRE;-;Avenida Cavalhada - 4980 - s/c - CEP: 91740-000 - Cavalhada;Porto Alegre;RS;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2017;-;;-;;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;5288;FACULDADE ANHANGÜERA DE RIBEIRÃO PRETO;-;Avenida Eduardo Andréa Matarazzo - 891 - s/c - CEP: 14080-730 - Via Norte;Ribeirão Preto;SP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;4;2016;-;;3;2016;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;4013;FACULDADE ANHANGUERA DE RIO CLARO;-;Rua 22 Be - 669 - s/c - CEP: 13501-388 - Chácara Luza;Rio Claro;SP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;4;2013;-;;3;2016;Ativa
15801;UNIC EDUCACIONAL LTDA;14.793.478/0001-20;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Mercantil ou Comercial;781;FACULDADE ANHANGUERA DE RONDONÓPOLIS;-;Avenida Ari Coelho - 829 - s/c - CEP: 78705-050 - Cidade Salmem;Rondonópolis;MT;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2017;-;;3;2016;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;4138;FACULDADE ANHANGUERA DE SANTA BÁRBARA;-;Rua Juscelino Kubitschek de Oliveira - 1450 - s/c - CEP: 13456-401 - 2º Distrito Industrial;Santa Bárbara d´Oeste;SP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2013;-;;3;2016;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;1478;FACULDADE ANHANGUERA DE SÃO BERNARDO;-;Avenida Senador Vergueiro - 505 - - até 1259/1260 - CEP: 09750-000 - Centro;São Bernardo do Campo;SP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2017;-;;3;2016;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;1784;Faculdade Anhanguera de São Caetano;-;Rua Amazonas - 2000 - s/c - CEP: 09540-203 - Oswaldo Cruz;São Caetano do Sul;SP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2013;-;;3;2016;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;1456;FACULDADE ANHANGUERA DE SERTÃOZINHO (FASERT);FASERT;Avenida Antônio Paschoal - 1954 - s/c - CEP: 14170-700 - Jardim São José;Sertãozinho;SP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2017;-;;3;2016;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;4655;FACULDADE ANHANGÜERA DE SOROCABA (FSO);FSO;Avenida Doutor Armando Pannunzio - 1478 - s/c - CEP: 18050-000 - Jardim Vera Cruz;Sorocaba;SP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;4;2016;-;;3;2016;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;11308;FACULDADE ANHANGUERA DE SUMARÉ (FACSUMARÉ);FACSUMARÉ;Avenida Eugênio Biancalana Duarte - 501 - s/c - CEP: 13173-050 - Jardim Primavera;Sumaré;SP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;4;2017;-;;3;2016;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;1499;FACULDADE ANHANGUERA DE TABOÃO DA SERRA (FATS);FATS;Rodovia Regis Bittencourt - 199 - s/c - CEP: 06768-000 - Centro;Taboão da Serra;SP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2009;-;;3;2016;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;1518;FACULDADE ANHANGUERA DE TAGUATINGA;-;Quadra QI 20 - S/N - s/c - CEP: 72135-200 - Setor Industrial (Taguatinga);Brasília;DF;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2010;-;;3;2016;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;4141;FACULDADE ANHANGUERA DE TAUBATÉ;-;Avenida José Olegário de Barros - 46/58 - s/c - CEP: 12060-400 - Vila Nossa Senhora das Graças;Taubaté;SP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;4;2013;-;;3;2016;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;1776;Faculdade Anhanguera de Tecnologia de Jundiaí;-;Rua Senador Fonseca - 1182 - s/c - CEP: 13201-017 - Centro;Jundiaí;SP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;4;2017;-;;3;2016;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;3612;FACULDADE ANHANGUERA DE VALINHOS;-;Avenida Invernada - 595 - s/c - CEP: 13271-450 - Vera Cruz;Valinhos;SP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;4;2017;-;;3;2016;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;2756;FACULDADE ANHANGUERA DE VALPARAÍSO;-;Quadra 05 Lotes 1 e 3 - S/N - Valparaíso II - CEP: 72870-000 - Parque Rio Branco;Valparaíso de Goiás;GO;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2011;-;;2;2016;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;2194;FACULDADE ANHANGUERA DO RIO GRANDE;-;Avenida Rheingantz - 91 - s/c - CEP: 96200-480 - Parque Residencial Coelho;Rio Grande;RS;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;4;2018;-;;3;2016;Ativa
14514;EDITORA E DISTRIBUIDORA EDUCACIONAL S/A;38.733.648/0001-40;Privada com fins lucrativos;21693;Faculdade Anhanguera Franca;-;Avenida Professor Moacir Vieira Coelho - 3125 - - lado ímpar - CEP: 14405-700 - Residencial Nosso Lar;Franca;SP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2017;-;;-;;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;4495;FACULDADE ANHANGUERA JARAGUÁ DO SUL;-;Rua Major Júlio Ferreira - s/n - s/c - CEP: 89256-210 - Vila Lalau;Jaraguá do Sul;SC;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2010;-;;4;2016;Ativa
14514;EDITORA E DISTRIBUIDORA EDUCACIONAL S/A;38.733.648/0001-40;Privada com fins lucrativos;1502;FACULDADE ANHANGUERA PITÁGORAS DE JUNDIAÍ;-;Rua do Retiro - 3000 - s/c - CEP: 13209-355 - Vila das Hortências;Jundiaí;SP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2017;-;;3;2016;Ativa
1204;PITAGORAS - SISTEMA DE EDUCACAO SUPERIOR SOCIEDADE LTDA;03.239.470/0001-09;Privada com fins lucrativos;11750;FACULDADE ANHANGUERA PITÁGORAS VOTORANTIM (-);-;Av. Juscelino Kubistchek de Oliveira - S/N - - - CEP: 18110-901 - Centro;Votorantim;SP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2015;-;;3;2016;Ativa
1079;SOCIEDADE CIENTIFICA E CULTURAL ANISIO TEIXEIRA LTDA;01.149.432/0001-21;Privada sem fins lucrativos;1643;FACULDADE ANÍSIO TEIXEIRA DE FEIRA DE SANTANA (FAT);FAT;Rua Juracy Magalhães - 222 - - até 558/559 - CEP: 44075-525 - Ponto Central;Feira de Santana;BA;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;3;2015;-;;4;2016;Ativa
3073;FOIL LTDA - EPP;04.899.334/0001-08;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;4810;FACULDADE ANTÔNIO MENEGHETTI (AMF);AMF;Estrada Recanto Maestro - 338 - s/c - CEP: 97200-000 - Distrito Recanto Maestro;Restinga Seca;RS;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;4;2011;-;;3;2016;Ativa
15523;FUNDACAO DE DESENVOLVIMENTO SUSTENTAVEL DO CANTAO;10.573.895/0001-07;Pessoa Jurídica de Direito Público - Municipal;17291;FACULDADE ANTONIO PROPICIO AGUIAR FRANCO (FAPAF);FAPAF;Avenida Diogenes de Brito - 51 - s/c - CEP: 77570-000 - Centro;Pium;TO;Faculdade;Presencial - Superior;Pública;Pública Municipal;1;2016;-;;-;;Ativa
2917;INSTITUTO APOENA DE DESENVOLVIMENTO EDUCACIONAL LTDA. - ME;08.790.056/0001-07;Privada com fins lucrativos;11593;FACULDADE APOENA;-;Rua General Rondon - 209 - s/c - CEP: 68908-080 - Julião Ramos;Macapá;AP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2014;-;;2;2016;Ativa
2910;APOGEU CENTRO INTEGRADO DE EDUCACAO LTDA - ME;06.929.784/0001-13;Privada com fins lucrativos;4588;FACULDADE APOGEU (APOGEU);APOGEU;Quadra 39 - Lotes 34/43 - s/n - Região Administrativa II - Gama - CEP: 72405-290 - Setor Central;Brasília;DF;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2013;3;2013;2;2016;Ativa
1089;SOCIEDADE DE EDUCACAO E CULTURA DE GOIAS S/C LTDA;00.140.831/0001-69;Privada com fins lucrativos;1663;FACULDADE ARAGUAIA (FARA);FARA;Avenida T-10 - 1047 - Unidade Bueno - CEP: 74223-060 - Setor Bueno;Goiânia;GO;Faculdade;EAD - Superior / Presencial - Superior;Privada;Privada com fins lucrativos;3;2018;4;2015;3;2016;Ativa
934;CBES - CENTRO BAIANO DE ENSINO SUPERIOR LTDA;02.250.176/0001-27;Privada com fins lucrativos;1410;FACULDADE ÁREA I WYDEN (ÁREA 1 WYDEN);ÁREA 1 WYDEN;Av. Luis Viana Filho - 3172 - Paralela - CEP: 41720-200 - Imbuí;Salvador;BA;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;4;2015;-;;3;2016;Ativa
16735;EDUCADORA ASC LTDA;04.207.923/0007-65;Privada com fins lucrativos;17403;FACULDADE ARI DE SÁ (FAS);FAS;Avenida Heraclito Graça - 826 - s/c - CEP: 60140-060 - Centro;Fortaleza;CE;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;5;2013;-;;-;;Ativa
2477;SOCIEDADE EDUCACIONAL ARNALDO HORACIO FERREIRA S/C LTDA;06.163.776/0001-09;Privada com fins lucrativos;3921;FACULDADE ARNALDO HORÁCIO FERREIRA (FAAHF);FAAHF;Rua Pará - 2.280 - Lote 08/B - CEP: 47850-000 - Mimoso do Oeste;Luís Eduardo Magalhães;BA;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2010;-;;3;2016;Ativa
576;MITRA ARQUIDIOCESANA DE DIAMANTINA;20.078.531/0001-04;Privada sem fins lucrativos;832;FACULDADE ARQUIDIOCESANA DE CURVELO (FAC);FAC;Rua João Pessoa - 88 - s/c - CEP: 35790-000 - Centro;Curvelo;MG;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;3;2012;-;;3;2016;Ativa
328;FUNDACAO OCTACILIO GUALBERTO;34.034.959/0001-60;Privada sem fins lucrativos;1080;FACULDADE ARTHUR SÁ EARP NETO (FASE);FASE;Avenida Barão do Rio Branco - 905 a 1003 - s/c - CEP: 25680-120 - Centro;Petrópolis;RJ;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;5;2009;-;;4;2016;Ativa
1096;INSTITUICAO EDUCACIONAL CECILIA MARIA DE MELO BARCELOS LTDA;03.522.326/0001-77;Privada com fins lucrativos;1670;FACULDADE ASA DE BRUMADINHO (IECEMB - FAB);IECEMB - FAB;Rodovia Mg 040 - Km 49 - s/c - CEP: 35460-000 - .;Brumadinho;MG;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;4;2012;-;;4;2016;Ativa
1406;ORGANIZACAO CULTURAL EDUCACIONAL FILANTROPICA;37.942.521/0001-78;Privada sem fins lucrativos;2134;FACULDADE ASSEMBLEIANA DO BRASIL;-;Rua Florianópolis - 220 - Qd 11 Lote 06 - CEP: 74553-520 - Vila Paraíso;Goiânia;GO;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;3;2015;-;;2;2016;Ativa
893;FUNDACAO ASSIS GURGACZ;02.203.539/0001-73;Privada sem fins lucrativos;1612;Faculdade Assis Gurgacz (FAG TOLEDO);FAG TOLEDO;Avenida Ministro Cirne Lima - 2.565 - s/c - CEP: 85903-590 - Jardim Coopagro;Toledo;PR;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2010;-;;3;2016;Ativa
1161;SOCIEDADE BRASILEIRA DE ENSINO SUPERIOR;03.346.013/0001-05;Privada sem fins lucrativos;1756;FACULDADE ASSOCIADA BRASIL (FAB);FAB;Rua Tiquatira - 243 - s/c - CEP: 04137-111 - Bosque da Saúde;São Paulo;SP;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;3;2011;-;;3;2016;Ativa
14669;FUNDACAO ASTORGA EDUCACAO PARA TODOS - FAET;11.288.799/0001-80;Privada sem fins lucrativos;1614;FACULDADE ASTORGA (FAAST);FAAST;Rua Bahia - 263 - s/c - CEP: 86730-000 - Centro;Astorga;PR;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;3;2016;-;;3;2016;Ativa
16146;ATAME EDUCACIONAL LTDA - EPP;06.043.448/0001-79;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;19281;FACULDADE ATAME (ATAME);ATAME;Quadra SEPN 513 Bloco D - SN - Edifício Imperador 38 ? Sala 301 a 308 - CEP: 70760-524 - Asa Norte;Brasília;DF;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2015;-;;-;;Ativa
1675;CENTRO EDUCACIONAL HYARTE-ML LTDA;01.428.030/0001-66;Privada com fins lucrativos;2579;FACULDADE ATENAS;-;Rua Euridamas Avelino de Barros - 60 - s/c - CEP: 38600-000 - Lavrado;Paracatu;MG;Faculdade;EAD - Superior / Presencial - Superior;Privada;Privada com fins lucrativos;4;2017;5;2016;4;2016;Ativa
1675;CENTRO EDUCACIONAL HYARTE-ML LTDA;01.428.030/0001-66;Privada com fins lucrativos;22197;FACULDADE ATENAS PASSOS;-;Rua Rua Amarantos - 1000 - s/c - CEP: 37900-380 - Jardim Colégio de Passos;Passos;MG;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;-;;-;;-;;Ativa
1629;SOCIEDADE EDUCACIONAL EDICE PORTELA LTDA;41.548.546/0001-69;Privada com fins lucrativos;2497;FACULDADE ATENEU (FATE);FATE;Avenida Coletor Antônio Gadelha - 621 - Unidade Acadêmica Messejana - CEP: 60871-170 - Messejana;Fortaleza;CE;Faculdade;EAD - Superior / Presencial - Superior;Privada;Privada com fins lucrativos;4;2018;-;;4;2016;Ativa
16557;UNIAO DAS FACULDADES DA TRIPLICE FRONTEIRA;23.215.207/0001-89;Privada sem fins lucrativos;3180;FACULDADE ATTICUS;-;Avenida das Cataratas - 1.118 - s/c - CEP: 85853-000 - Vila Yolanda;Foz do Iguaçu;PR;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;-;;-;;4;2016;Ativa
3403;MOTINHA & CIA LTDA - ME;06.173.834/0001-85;Privada com fins lucrativos;1877;FACULDADE ATUAL (FAAT);FAAT;Rua Eliézer Levy - 1572 - - de 1060/1061 a 2574/2575 - CEP: 68900-083 - Central;Macapá;AP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2016;-;;2;2016;Ativa
16654;ATUALIZA ASSESSORIA TREINAMENTO E SERVICOS EDUCACIONAIS LTDA;11.089.005/0001-59;Privada com fins lucrativos;21616;FACULDADE ATUALIZA (ATUALIZA);ATUALIZA;Avenida Juracy Magalhães Júnior - 1388 - (Sent Largo da Mariquita-Itaigara) - CEP: 41940-060 - Rio Vermelho;Salvador;BA;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2017;-;;-;;Ativa
1277;SOCIEDADE EDUCACIONAL ENES NASCIMENTO LTDA - ME;03.762.673/0001-77;Privada com fins lucrativos;4950;FACULDADE AUM;-;Avenida Dom Aquino - 38 - s/c - CEP: 78015-200 - Centro;Cuiabá;MT;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2017;-;;2;2016;Ativa
979;CENTRO EDUCACIONAL ALVES FARIA LTDA.;02.850.990/0001-82;Privada com fins lucrativos;1752;FACULDADE AUTÔNOMA DE DIREITO (FADISP);FADISP;Rua João Moura - 313 - s/c - CEP: 05412-001 - Pinheiros;São Paulo;SP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2015;-;;3;2016;Ativa
15976;SOCIEDADE DE EDUCACAO SUPERIOR DO CABO LTDA;17.832.253/0001-24;Privada com fins lucrativos;19846;Faculdade Autônoma do Brasil - Cabo de Santo Agostinho (FBR - Cabo);FBR - Cabo;Avenida Historiador Pereira da Costa - 324 - s/c - CEP: 54510-360 - Centro;Cabo de Santo Agostinho;PE;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;4;2017;-;;-;;Ativa
16424;Sociedade de Educa o Superior de Macei Ltda;21.895.918/0001-16;Privada com fins lucrativos;20494;Faculdade Autônoma do Brasil - Maceió (FBR Maceió);FBR Maceió;Rua Fernandes de Barros - 161 - s/c - CEP: 57020-020 - Centro;Maceió;AL;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;4;2015;-;;-;;Ativa
1303;SOCIEDADE AVANTIS DE ENSINO E ESCOLA DE AVIACAO CIVIL LTDA;04.204.407/0001-91;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;1988;FACULDADE AVANTIS (AVANTIS);AVANTIS;Avenida Marginal Leste - 3600 - KM 132 - CEP: 88339-125 - Estados;Balneário Camboriú;SC;Faculdade;EAD - Superior / Presencial - Superior;Privada;Privada com fins lucrativos;5;2017;-;;4;2016;Ativa
1303;SOCIEDADE AVANTIS DE ENSINO E ESCOLA DE AVIACAO CIVIL LTDA;04.204.407/0001-91;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;21676;Faculdade Avantis de Itapema (Avantis);Avantis;Av. Nereu Ramos - 3.977 - s/c - CEP: 88220-000 - Meia Praia;Itapema;SC;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;5;2017;-;;-;;Ativa
2454;REDE GONZAGA DE ENSINO SUPERIOR - REGES;08.667.147/0001-41;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;797;Faculdade AVEC de Vilhena (AVEC);AVEC;Avenida Avenida Liliana Gonzaga - 1265 - s/c - CEP: 76982-044 - Bela Vista;Vilhena;RO;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;-;;-;;3;2016;Ativa
16696;FBE BRASIL EDUCACAO LTDA - ME;24.652.674/0001-39;Privada com fins lucrativos;21871;FACULDADE BAHIANA DE ENGENHARIA E CIÊNCIAS SOCIAIS APLICADAS (FBE);FBE;Rua Adhemar Pinheiro Lemos - 1617 - s/c - CEP: 41720-350 - Imbuí;Salvador;BA;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;4;2017;-;;-;;Ativa
3332;ESCOLA BAIANA DE DIREITO E GESTAO LTDA;08.346.085/0001-76;Privada com fins lucrativos;3847;FACULDADE BAIANA DE DIREITO E GESTÃO;-;Rua Visconde de Itaboray - 989 - s/c - CEP: 41900-031 - Amaralina;Salvador;BA;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;5;2017;-;;3;2016;Ativa
16134;UNIESP S.A;19.347.410/0001-31;Privada com fins lucrativos;2891;FACULDADE BARÃO DE PIRATININGA (AES);AES;Avenida Três de Maio - 127 - s/c - CEP: 18134-000 - Centro;São Roque;SP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2017;-;;3;2010;Ativa
1404;UNIAO EDUCACIONAL DO NORTE LTDA;04.515.940/0001-74;Privada com fins lucrativos;2132;FACULDADE BARÃO DO RIO BRANCO (FAB);FAB;Alameda Hungria - 200 - BR 364, KM 02 - CEP: 69915-901 - Jardim Europa;Rio Branco;AC;Faculdade;EAD - Superior / Presencial - Superior;Privada;Privada com fins lucrativos;4;2018;4;2017;3;2016;Ativa
802;FUNDACAO BARDDAL DE EDUCACAO E CULTURA;76.599.828/0001-70;Privada sem fins lucrativos;1366;FACULDADE BARDDAL (FB-SI);FB-SI;Avenida Madre Benventura - 416 - s/c - CEP: 88036-500 - Trindade;Florianópolis;SC;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;-;;-;;SC;2014;Ativa
16134;UNIESP S.A;19.347.410/0001-31;Privada com fins lucrativos;1686;FACULDADE BARDDAL DE ARTES APLICADAS;-;Avenida Madre Benvenuta - 416 - s/c - CEP: 88036-500 - Trindade;Florianópolis;SC;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2015;-;;2;2016;Ativa
16134;UNIESP S.A;19.347.410/0001-31;Privada com fins lucrativos;1685;FACULDADE BARDDAL DE CIÊNCIAS CONTÁBEIS;-;Avenida Madre Benevenuta - 416 - s/c - CEP: 88036-500 - Trindade;Florianópolis;SC;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;-;;-;;SC;2012;Ativa
1924;CENTRO UNIFICADO DE EDUCACAO BARRETOS LTDA;60.243.961/0001-59;Privada com fins lucrativos;2971;FACULDADE BARRETOS (FB);FB;AVENIDA C 12 - 1555 - s/c - CEP: 14781-454 - CRISTIANO DE CARVALHO;Barretos;SP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;4;2017;-;;3;2016;Ativa
869;CRUZADA MARANATA DE EVANGELIZACAO;74.333.097/0001-90;Privada sem fins lucrativos;1302;FACULDADE BATISTA BRASILEIRA (FBB);FBB;Rua Altino Serbeto de Barros - 174 - s/c - CEP: 41830-492 - Pituba;Salvador;BA;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;3;2017;-;;3;2016;Ativa
869;CRUZADA MARANATA DE EVANGELIZACAO;74.333.097/0001-90;Privada sem fins lucrativos;19284;FACULDADE BATISTA BRASILEIRA DO RECÔNCAVO (FBBR);FBBR;Avenida Alberto Passos - 294 - s/c - CEP: 44380-000 - Centro;Cruz das Almas;BA;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;3;2015;-;;-;;Ativa
898;JUNTA DE EDUCACAO DA CONVENCAO BATISTA MINEIRA;17.217.670/0001-67;Privada sem fins lucrativos;1346;FACULDADE BATISTA DE MINAS GERAIS (FBMG);FBMG;Rua Ponte Nova - 665 - s/c - CEP: 31110-150 - Floresta;Belo Horizonte;MG;Faculdade;EAD - Superior / Presencial - Superior;Privada;Privada sem fins lucrativos;3;2011;5;2015;2;2016;Ativa
15035;SEMINARIO BATISTA DO CARIRI;07.577.331/0001-38;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;15562;Faculdade Batista do Cariri (FBC);FBC;Rua Aminadab Arruda Campos - 102 - s/c - CEP: 63105-330 - Muriti;Crato;CE;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;3;2011;-;;-;;Ativa
3560;JUNTA DE EDUCACAO E ACAO SOCIAL DA CONVENCAO BATISTA FLUMINENSE;29.107.380/0001-40;Privada sem fins lucrativos;4066;FACULDADE BATISTA DO ESTADO DO RIO DE JANEIRO - FABERJ (FABERJ );FABERJ;Avenida Alberto Torres - 249/261 - s/c - CEP: 28035-580 - Centro;Campos dos Goytacazes;RJ;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;3;2013;-;;SC;2012;Ativa
944;SEMINARIO TEOLOGICO BATISTA DO SUL DO BRASIL;33.909.037/0001-96;Privada sem fins lucrativos;1429;FACULDADE BATISTA DO RIO DE JANEIRO (FABAT);FABAT;Rua José Higino - 416 - Prédio 16 - CEP: 20510-412 - Tijuca;Rio de Janeiro;RJ;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;-;;-;;3;2016;Ativa
